"id_penjualan","id_invoice","tanggal","id_barang","nama_barang","harga","unit","jumlah_barang","total_harga_per_barang","mata_uang","kode_barang","id_customer","nama_customer","cabang_sales","id_distributor","group_category"
"IN5997_BRG0001","IN5997","2022-01-20","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",1,1169.91,"IDR","BRG0001","CUST55380","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6297_BRG0002","IN6297","2022-01-20","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",5,11687.5,"IDR","BRG0002","CUST55381","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6155_BRG0003","IN6155","2022-01-21","BRG0003","AMPICILLIN",10690.6,"DUS",9,96215.4,"IDR","BRG0003","CUST55382","KLINIK GM","Jakarta","TA","Klinik"
"IN6144_BRG0004","IN6144","2022-01-22","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",13,113109.1,"IDR","BRG0004","CUST55383","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN6280_BRG0005","IN6280","2022-01-23","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",1,5648.3,"IDR","BRG0005","CUST55384","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6052_BRG0006","IN6052","2022-01-23","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",5,14096.0,"IDR","BRG0006","CUST55385","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6089_BRG0007","IN6089","2022-01-25","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",9,41328.9,"IDR","BRG0007","CUST55386","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6251_BRG0008","IN6251","2022-01-23","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",1,3991.9,"IDR","BRG0008","CUST55387","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6036_BRG0009","IN6036","2022-01-27","BRG0009","AMBROXOL HC",5780.7,"DUS",23,132956.1,"IDR","BRG0009","CUST55388","APOTEK MAJA","Kuningan","TA","Apotek"
"IN6029_BRG0010","IN6029","2022-01-28","BRG0010","PARACETAMOL",6940.3,"DUS",4,27761.2,"IDR","BRG0010","CUST55389","KLINIK GM","Jakarta","EPM","Klinik"
"IN6190_BRG0001","IN6190","2022-01-23","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",2,2339.82,"IDR","BRG0001","CUST55390","APOTEK MERDEKA","Bandung","TD","Apotek"
"IN6287_BRG0002","IN6287","2022-01-30","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",17,39737.5,"IDR","BRG0002","CUST55391","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6102_BRG0003","IN6102","2022-01-31","BRG0003","AMPICILLIN",10690.6,"DUS",11,117596.6,"IDR","BRG0003","CUST55392","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6301_BRG0004","IN6301","2022-02-01","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",12,104408.4,"IDR","BRG0004","CUST55393","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6024_BRG0005","IN6024","2022-01-27","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",12,67779.6,"IDR","BRG0005","CUST55394","KLINIK DR. ANDRI","Lampung","TD","Klinik"
"IN6184_BRG0006","IN6184","2022-01-28","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",25,70480.0,"IDR","BRG0006","CUST55395","APOTEK TAPAK","Aceh","TA","Apotek"
"IN6307_BRG0007","IN6307","2022-01-23","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",14,64289.4,"IDR","BRG0007","CUST55396","APOTEK MAJA","Kuningan","EPM","Apotek"
"IN6245_BRG0008","IN6245","2022-01-30","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",34,135724.6,"IDR","BRG0008","CUST55397","KLINIK GM","Jakarta","TD","Klinik"
"IN6195_BRG0009","IN6195","2022-01-31","BRG0009","AMBROXOL HC",5780.7,"DUS",67,387306.9,"IDR","BRG0009","CUST55398","APOTEK MERDEKA","Bandung","TA","Apotek"
"IN6023_BRG0010","IN6023","2022-02-01","BRG0010","PARACETAMOL",6940.3,"DUS",15,104104.5,"IDR","BRG0010","CUST55399","KLINIK SAHABAT","Tangerang","EPM","Klinik"
"IN6113_BRG0001","IN6113","2022-01-27","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",12,14038.92,"IDR","BRG0001","CUST55400","APOTEK SINAR JAYA","Bekasi","TD","Apotek"
"IN6141_BRG0002","IN6141","2022-01-28","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",25,58437.5,"IDR","BRG0002","CUST55401","APOTEK SAHABAT","Padang","TD","Apotek"
"IN6125_BRG0003","IN6125","2022-01-23","BRG0003","AMPICILLIN",10690.6,"DUS",14,149668.4,"IDR","BRG0003","CUST55402","APOTEK TAPAK","Aceh","TA","Apotek"
"IN6176_BRG0004","IN6176","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",18,156612.6,"IDR","BRG0004","CUST55403","APOTEK MAJA","Kuningan","EPM","Apotek"
"IN6175_BRG0005","IN6175","2022-01-31","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",18,101669.4,"IDR","BRG0005","CUST55404","KLINIK GM","Jakarta","TD","Klinik"
"IN6259_BRG0006","IN6259","2022-02-01","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",19,53564.8,"IDR","BRG0006","CUST55405","APOTEK MERDEKA","Bandung","TA","Apotek"
"IN6173_BRG0001","IN6173","2022-01-27","BRG0001","ACYCLOVIR DUS",4592.1,"DUS",12,55105.2,"IDR","BRG0001","CUST55406","KLINIK SAHABAT","Tangerang","EPM","Klinik"
"IN6013_BRG0002","IN6013","2022-01-28","BRG0002","ALERGINE TABLET SALUT",3991.9,"DUS",25,99797.5,"IDR","BRG0002","CUST55407","APOTEK SINAR JAYA","Bekasi","TD","Apotek"
"IN6086_BRG0003","IN6086","2022-01-23","BRG0003","AMPICILLIN",5780.7,"DUS",14,80929.8,"IDR","BRG0003","CUST55408","APOTEK SAHABAT","Padang","TD","Apotek"
"IN6108_BRG0004","IN6108","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",6940.3,"DUS",21,145746.3,"IDR","BRG0004","CUST55409","KLINIK DR. ANDRI","Lampung","TA","Klinik"
"IN6321_BRG0001","IN6321","2022-01-31","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",22,25738.02,"IDR","BRG0001","CUST55410","APOTEK TAPAK","Aceh","EPM","Apotek"
"IN5994_BRG0002","IN5994","2022-02-01","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",12,28050.0,"IDR","BRG0002","CUST55411","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6146_BRG0003","IN6146","2022-01-27","BRG0003","AMPICILLIN",10690.6,"DUS",25,267265.0,"IDR","BRG0003","CUST55412","KLINIK GM","Jakarta","TA","Klinik"
"IN6230_BRG0004","IN6230","2022-01-28","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",14,121809.8,"IDR","BRG0004","CUST55413","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN5991_BRG0005","IN5991","2022-01-23","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",24,135559.2,"IDR","BRG0005","CUST55414","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6281_BRG0006","IN6281","2022-01-30","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",10,28192.0,"IDR","BRG0006","CUST55415","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6226_BRG0007","IN6226","2022-01-31","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",23,105618.3,"IDR","BRG0007","CUST55416","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6063_BRG0008","IN6063","2022-02-01","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",12,47902.8,"IDR","BRG0008","CUST55417","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6131_BRG0009","IN6131","2022-01-27","BRG0009","AMBROXOL HC",5780.7,"DUS",10,57807.0,"IDR","BRG0009","CUST55418","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6262_BRG0010","IN6262","2022-01-28","BRG0010","PARACETAMOL",6940.3,"DUS",67,465000.1,"IDR","BRG0010","CUST55419","KLINIK GM","Jakarta","TA","Klinik"
"IN6028_BRG0001","IN6028","2022-01-23","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",98,114651.18,"IDR","BRG0001","CUST55420","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN6163_BRG0002","IN6163","2022-01-30","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",5,11687.5,"IDR","BRG0002","CUST55421","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6191_BRG0003","IN6191","2022-01-31","BRG0003","AMPICILLIN",10690.6,"DUS",4,42762.4,"IDR","BRG0003","CUST55422","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6274_BRG0004","IN6274","2022-02-01","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",8,69605.6,"IDR","BRG0004","CUST55423","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6003_BRG0005","IN6003","2022-01-27","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",9,50834.7,"IDR","BRG0005","CUST55424","KLINIK DR. ANDRI","Lampung","TD","Klinik"
"IN6247_BRG0006","IN6247","2022-01-28","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",10,28192.0,"IDR","BRG0006","CUST55425","APOTEK TAPAK","Aceh","TA","Apotek"
"IN6311_BRG0007","IN6311","2022-01-23","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",7,32144.7,"IDR","BRG0007","CUST55426","APOTEK MAJA","Kuningan","EPM","Apotek"
"IN6248_BRG0008","IN6248","2022-01-30","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",100,399190.0,"IDR","BRG0008","CUST55427","KLINIK GM","Jakarta","TD","Klinik"
"IN6042_BRG0009","IN6042","2022-01-31","BRG0009","AMBROXOL HC",5780.7,"DUS",67,387306.9,"IDR","BRG0009","CUST55428","APOTEK MERDEKA","Bandung","TD","Apotek"
"IN6133_BRG0010","IN6133","2022-02-01","BRG0010","PARACETAMOL",6940.3,"DUS",78,541343.4,"IDR","BRG0010","CUST55429","KLINIK SAHABAT","Tangerang","TA","Klinik"
"IN6306_BRG0001","IN6306","2022-01-27","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",45,52645.95,"IDR","BRG0001","CUST55430","APOTEK SINAR JAYA","Bekasi","EPM","Apotek"
"IN6253_BRG0002","IN6253","2022-01-28","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",34,79475.0,"IDR","BRG0002","CUST55431","APOTEK SAHABAT","Padang","TD","Apotek"
"IN5980_BRG0003","IN5980","2022-01-23","BRG0003","AMPICILLIN",10690.6,"DUS",20,213812.0,"IDR","BRG0003","CUST55432","APOTEK TAPAK","Aceh","TA","Apotek"
"IN6104_BRG0004","IN6104","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",45,391531.5,"IDR","BRG0004","CUST55433","APOTEK MAJA","Kuningan","EPM","Apotek"
"IN6050_BRG0005","IN6050","2022-01-31","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",34,192042.2,"IDR","BRG0005","CUST55434","KLINIK GM","Jakarta","TD","Klinik"
"IN6054_BRG0006","IN6054","2022-02-01","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",34,95852.8,"IDR","BRG0006","CUST55435","APOTEK MERDEKA","Bandung","TD","Apotek"
"IN6219_BRG0001","IN6219","2022-01-27","BRG0001","ACYCLOVIR DUS",4592.1,"DUS",34,156131.4,"IDR","BRG0001","CUST55436","KLINIK SAHABAT","Tangerang","TA","Klinik"
"IN6053_BRG0002","IN6053","2022-01-28","BRG0002","ALERGINE TABLET SALUT",3991.9,"DUS",44,175643.6,"IDR","BRG0002","CUST55437","APOTEK SINAR JAYA","Bekasi","EPM","Apotek"
"IN6217_BRG0003","IN6217","2022-01-23","BRG0003","AMPICILLIN",5780.7,"DUS",5,28903.5,"IDR","BRG0003","CUST55438","APOTEK SAHABAT","Padang","TD","Apotek"
"IN6323_BRG0004","IN6323","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",6940.3,"DUS",6,41641.8,"IDR","BRG0004","CUST55439","KLINIK DR. ANDRI","Lampung","TA","Klinik"
"IN6241_BRG0001","IN6241","2022-01-31","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",79,92422.89,"IDR","BRG0001","CUST55440","APOTEK TAPAK","Aceh","EPM","Apotek"
"IN6134_BRG0002","IN6134","2022-02-01","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",12,28050.0,"IDR","BRG0002","CUST55441","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6124_BRG0003","IN6124","2022-01-27","BRG0003","AMPICILLIN",10690.6,"DUS",95,1015607.0,"IDR","BRG0003","CUST55442","KLINIK GM","Jakarta","TA","Klinik"
"IN5981_BRG0004","IN5981","2022-01-28","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",76,661253.2,"IDR","BRG0004","CUST55443","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN6220_BRG0005","IN6220","2022-01-23","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",48,271118.4,"IDR","BRG0005","CUST55444","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6122_BRG0006","IN6122","2022-01-30","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",21,59203.2,"IDR","BRG0006","CUST55445","APOTEK SINAR JAYA","Bekasi","TD","Apotek"
"IN6255_BRG0007","IN6255","2022-01-31","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",22,101026.2,"IDR","BRG0007","CUST55446","APOTEK SAHABAT","Padang","TA","Apotek"
"IN6005_BRG0008","IN6005","2022-02-01","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",12,47902.8,"IDR","BRG0008","CUST55447","APOTEK TAPAK","Aceh","EPM","Apotek"
"IN6327_BRG0009","IN6327","2022-01-27","BRG0009","AMBROXOL HC",5780.7,"DUS",25,144517.5,"IDR","BRG0009","CUST55448","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6119_BRG0010","IN6119","2022-01-28","BRG0010","PARACETAMOL",6940.3,"DUS",14,97164.2,"IDR","BRG0010","CUST55449","KLINIK GM","Jakarta","TA","Klinik"
"IN6233_BRG0001","IN6233","2022-01-23","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",24,28077.84,"IDR","BRG0001","CUST55450","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN6235_BRG0002","IN6235","2022-01-30","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",10,23375.0,"IDR","BRG0002","CUST55451","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6263_BRG0003","IN6263","2022-01-31","BRG0003","AMPICILLIN",10690.6,"DUS",130,1389778.0,"IDR","BRG0003","CUST55452","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6269_BRG0004","IN6269","2022-02-01","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",12,104408.4,"IDR","BRG0004","CUST55453","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6188_BRG0005","IN6188","2022-01-27","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",10,56483.0,"IDR","BRG0005","CUST55454","KLINIK DR. ANDRI","Lampung","TD","Klinik"
"IN6116_BRG0006","IN6116","2022-01-28","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",67,188886.4,"IDR","BRG0006","CUST55455","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6216_BRG0007","IN6216","2022-01-23","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",98,450025.8,"IDR","BRG0007","CUST55456","APOTEK MAJA","Kuningan","TA","Apotek"
"IN6099_BRG0008","IN6099","2022-01-30","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",5,19959.5,"IDR","BRG0008","CUST55457","KLINIK GM","Jakarta","EPM","Klinik"
"IN6326_BRG0009","IN6326","2022-01-31","BRG0009","AMBROXOL HC",5780.7,"DUS",4,23122.8,"IDR","BRG0009","CUST55458","APOTEK MERDEKA","Bandung","TD","Apotek"
"IN6267_BRG0010","IN6267","2022-02-01","BRG0010","PARACETAMOL",6940.3,"DUS",8,55522.4,"IDR","BRG0010","CUST55459","KLINIK SAHABAT","Tangerang","TA","Klinik"
"IN6238_BRG0001","IN6238","2022-01-27","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",9,10529.19,"IDR","BRG0001","CUST55460","APOTEK SINAR JAYA","Bekasi","EPM","Apotek"
"IN6214_BRG0002","IN6214","2022-01-28","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",21,49087.5,"IDR","BRG0002","CUST55461","APOTEK SAHABAT","Padang","TD","Apotek"
"IN6318_BRG0003","IN6318","2022-01-23","BRG0003","AMPICILLIN",10690.6,"DUS",22,235193.2,"IDR","BRG0003","CUST55462","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6256_BRG0004","IN6256","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",12,104408.4,"IDR","BRG0004","CUST55463","APOTEK MAJA","Kuningan","TA","Apotek"
"IN6048_BRG0005","IN6048","2022-01-31","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",25,141207.5,"IDR","BRG0005","CUST55464","KLINIK GM","Jakarta","EPM","Klinik"
"IN6120_BRG0006","IN6120","2022-02-01","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",14,39468.8,"IDR","BRG0006","CUST55465","APOTEK MERDEKA","Bandung","TD","Apotek"
"IN6161_BRG0001","IN6161","2022-01-27","BRG0001","ACYCLOVIR DUS",4592.1,"DUS",24,110210.4,"IDR","BRG0001","CUST55466","KLINIK SAHABAT","Tangerang","TA","Klinik"
"IN6292_BRG0002","IN6292","2022-01-28","BRG0002","ALERGINE TABLET SALUT",3991.9,"DUS",10,39919.0,"IDR","BRG0002","CUST55467","APOTEK SINAR JAYA","Bekasi","EPM","Apotek"
"IN6286_BRG0003","IN6286","2022-01-23","BRG0003","AMPICILLIN",5780.7,"DUS",120,693684.0,"IDR","BRG0003","CUST55468","APOTEK SAHABAT","Padang","TD","Apotek"
"IN6008_BRG0004","IN6008","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",6940.3,"DUS",12,83283.6,"IDR","BRG0004","CUST55469","KLINIK DR. ANDRI","Lampung","TA","Klinik"
"IN6040_BRG0001","IN6040","2022-01-31","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",10,11699.1,"IDR","BRG0001","CUST55470","APOTEK TAPAK","Aceh","EPM","Apotek"
"IN6084_BRG0002","IN6084","2022-02-01","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",67,156612.5,"IDR","BRG0002","CUST55471","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6074_BRG0003","IN6074","2022-01-27","BRG0003","AMPICILLIN",10690.6,"DUS",98,1047678.8,"IDR","BRG0003","CUST55472","KLINIK GM","Jakarta","TD","Klinik"
"IN6200_BRG0004","IN6200","2022-01-28","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",5,43503.5,"IDR","BRG0004","CUST55473","APOTEK MERDEKA","Bandung","TA","Apotek"
"IN6065_BRG0005","IN6065","2022-01-23","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",4,22593.2,"IDR","BRG0005","CUST55474","KLINIK SAHABAT","Tangerang","EPM","Klinik"
"IN6208_BRG0006","IN6208","2022-01-30","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",8,22553.6,"IDR","BRG0006","CUST55475","APOTEK SINAR JAYA","Bekasi","TD","Apotek"
"IN6148_BRG0007","IN6148","2022-01-31","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",9,41328.9,"IDR","BRG0007","CUST55476","APOTEK SAHABAT","Padang","TA","Apotek"
"IN6072_BRG0008","IN6072","2022-02-01","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",1,3991.9,"IDR","BRG0008","CUST55477","APOTEK TAPAK","Aceh","EPM","Apotek"
"IN6095_BRG0009","IN6095","2022-01-27","BRG0009","AMBROXOL HC",5780.7,"DUS",5,28903.5,"IDR","BRG0009","CUST55478","APOTEK MAJA","Kuningan","TD","Apotek"
"IN6049_BRG0010","IN6049","2022-01-28","BRG0010","PARACETAMOL",6940.3,"DUS",9,62462.7,"IDR","BRG0010","CUST55479","KLINIK GM","Jakarta","TA","Klinik"
"IN6039_BRG0001","IN6039","2022-01-23","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",13,15208.83,"IDR","BRG0001","CUST55480","APOTEK MERDEKA","Bandung","EPM","Apotek"
"IN6276_BRG0002","IN6276","2022-01-30","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",1,2337.5,"IDR","BRG0002","CUST55481","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6015_BRG0003","IN6015","2022-01-31","BRG0003","AMPICILLIN",10690.6,"DUS",5,53453.0,"IDR","BRG0003","CUST55482","APOTEK SINAR JAYA","Bekasi","TD","Apotek"
"IN6185_BRG0004","IN6185","2022-02-01","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",9,78306.3,"IDR","BRG0004","CUST55483","APOTEK SAHABAT","Padang","TA","Apotek"
"IN6258_BRG0005","IN6258","2022-01-27","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",1,5648.3,"IDR","BRG0005","CUST55484","KLINIK DR. ANDRI","Lampung","EPM","Klinik"
"IN6070_BRG0006","IN6070","2022-01-28","BRG0006","KETOCONAZOLE TABLET 200 MG",2819.2,"DUS",23,64841.6,"IDR","BRG0006","CUST55485","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6210_BRG0007","IN6210","2022-01-23","BRG0007","ERGOTAMINE COFFEINE",4592.1,"DUS",4,18368.4,"IDR","BRG0007","CUST55486","APOTEK MAJA","Kuningan","TA","Apotek"
"IN6083_BRG0008","IN6083","2022-01-30","BRG0008","TETRACYCLINE KAPSUL 250 MG",3991.9,"DUS",2,7983.8,"IDR","BRG0008","CUST55487","KLINIK GM","Jakarta","EPM","Klinik"
"IN6322_BRG0009","IN6322","2022-01-31","BRG0009","AMBROXOL HC",5780.7,"DUS",17,98271.9,"IDR","BRG0009","CUST55488","APOTEK MERDEKA","Bandung","TD","Apotek"
"IN6291_BRG0010","IN6291","2022-02-01","BRG0010","PARACETAMOL",6940.3,"DUS",11,76343.3,"IDR","BRG0010","CUST55489","KLINIK SAHABAT","Tangerang","TD","Klinik"
"IN6062_BRG0001","IN6062","2022-01-27","BRG0001","ACYCLOVIR DUS",1169.91,"DUS",12,14038.92,"IDR","BRG0001","CUST55490","APOTEK SINAR JAYA","Bekasi","TA","Apotek"
"IN6167_BRG0002","IN6167","2022-01-28","BRG0002","ALERGINE TABLET SALUT",2337.5,"DUS",12,28050.0,"IDR","BRG0002","CUST55491","APOTEK SAHABAT","Padang","EPM","Apotek"
"IN6289_BRG0003","IN6289","2022-01-23","BRG0003","AMPICILLIN",10690.6,"DUS",25,267265.0,"IDR","BRG0003","CUST55492","APOTEK TAPAK","Aceh","TD","Apotek"
"IN6305_BRG0004","IN6305","2022-01-30","BRG0004","TRAMADOL KAPSUL 50 MG",8700.7,"DUS",14,121809.8,"IDR","BRG0004","CUST55493","APOTEK MAJA","Kuningan","TA","Apotek"
"IN6079_BRG0005","IN6079","2022-01-31","BRG0005","KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648.3,"DUS",34,192042.2,"IDR","BRG0005","CUST55494","KLINIK GM","Jakarta","EPM","Klinik"
